	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 17:51:41 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   942521  1638743  3958892  8182586  5860307  4018152  3791156   5389653   6421025  4274062  4274062  6421025  7100397
              64       8  1336792  4564786  7940539  9006179  7940539  5389653  6421025   2133730   7100397  4643754  5283570  8182586 10402178
              64      16  1279447  5283570 10402178  9318832 10821524  6421025  7100397   7940539  12310336  5860307  7100397 10402178 12902017
              64      32  1163036  4897948 10402178  7100397 12902017  2561267  9006179   7940539  10821524  5283570  9006179 10402178 15972885
              64      64  1304314  4897948  7940539 15972885 12902017  7100397  9006179   7100397   7940539  4897948  5283570  9006179 12902017
             128       4  1377278  3895854  6727225  6727225  6114306  4135958  4135958   5122535   5122535  2969325  4012317  7082197  8036304
             128       8  1705404  5122535  9129573  7582312  8036304  5122535  5545860   6727225   8036304  5122535  5325799  7917784  9795896
             128      16  1642783  3468030  9129573  6114306  7917784  5847904  6727225   7082197   9795896  5545860  5545860  9129573 10567140
             128      32  1727352  5122535 10779307  8548124 11470204  6406138  7476717   7176872  11470204  3867787  7082197  9977956 12842051
             128      64  1727352  5122535  9129573 11720614 10567140  6114306  8548124   7917784   9795896  2985839  9795896  8548124  9795896
             128     128  1561553  2420455  7917784 14200794 11720614  7082197  9129573   6727225   9795896  6406138  6406138  9977956 14200794
             256       4  1327564  3236056  5938650  6936061  5455847  3994490  3935921   5142301   5117791  4132864  3879045  5938650  6595234
             256       8  1525622  4264168  8271916  6398720  7120034  5022044  5428265   6554972   6936061  5022044  4132864  7965107  9114515
             256      16  1778290  5117791  9192546  7518900  9518507  5938650  6398720   6595234   9518507  4132864  5455847  9192546 10651598
             256      32  1814348  4929815 10245071  6936061  9192546  4572895  8208677   8815202  12812277  4496299  6213578 10245071 11695808
             256      64  1855098  4197489  9114515  8271916 11695808  6719046  9868433   9114515  12812277  6891544  8024634  9434868 12812277
             256     128  1842366  5687020  8271916  9192546 10651598  6891544  8815202   7965107  11091721  2975955 10651598 10245071 12812277
             256     256  1361224  5971678  8534922 14164395 14353744  6073004  9778562   7314033  10245071  5687020  7314033 11569783 14353744
             512       4  1361057  4228947  6571132  7410080  5744919  3849877  4340054   5177083   5331314  4131319  3849877  5870558  6319739
             512       8  1759070  4650188  8528336  5760329  7115451  4973263  5177083   6736026   7309196  4660280  4571003  8265729  9145790
             512      16  1747618  5453155  8234036  6736026  8808176  5227492  6414119   7115451   7871843  5227492  4871723  8394979  8528336
